offset,latA,latB,label
0x16f80,281.6,315.5,0
0x17000,281.4,304.5,0
0x17080,281.1,304.4,0
0x17100,307.2,278.4,1
0x17180,307.0,278.4,1
0x17200,281.4,304.5,0
0x17280,281.3,304.4,0
0x17300,307.2,278.4,1
0x17380,307.0,278.4,1
0x17400,308.6,280.0,1
0x17480,308.4,280.0,1
0x17500,281.8,313.2,0
0x17580,281.9,313.1,0
0x17600,308.4,280.1,1
0x17680,308.5,280.1,1
0x17700,281.9,313.1,0
0x17780,281.8,313.1,0
0x17800,308.6,280.2,1
0x17880,308.8,280.2,1
0x17900,307.0,278.5,1
0x17980,306.7,278.4,1
0x17a00,308.7,280.2,1
0x17a80,308.7,280.2,1
0x17b00,306.9,278.7,1
0x17b80,306.6,278.5,1
0x17c00,281.6,316.0,0
0x17c80,281.5,315.8,0
0x17d00,281.1,307.7,0
0x17d80,281.1,307.5,0
0x17e00,281.6,316.0,0
0x17e80,281.4,315.9,0
0x17f00,281.3,307.5,0
0x17f80,281.2,307.7,0
0x18000,279.0,305.4,0
0x18080,278.8,305.2,0
0x18100,277.5,312.8,0
0x18180,277.5,312.8,0
0x18200,278.8,305.1,0
0x18280,278.8,305.2,0
0x18300,277.6,312.7,0
0x18380,277.5,312.9,0
0x18400,304.1,276.0,1
0x18480,304.2,276.1,1
0x18500,305.0,276.3,1
0x18580,304.8,276.3,1
0x18600,304.3,276.2,1
0x18680,304.1,276.2,1
0x18700,305.0,276.2,1
0x18780,304.9,276.2,1
0x18800,278.3,308.6,0
0x18880,278.2,308.5,0
0x18900,304.6,276.3,1
0x18980,304.5,276.2,1
0x18a00,278.3,308.6,0
0x18a80,278.1,308.5,0
0x18b00,304.6,276.3,1
0x18b80,304.5,276.1,1
0x18c00,304.5,275.5,1
0x18c80,304.6,275.8,1
0x18d00,278.9,302.0,0
0x18d80,278.7,301.9,0
0x18e00,304.6,275.7,1
0x18e80,304.5,275.8,1
0x18f00,279.0,302.0,0
0x18f80,278.8,301.9,0
0x19000,277.9,311.2,0
0x19080,277.8,311.1,0
0x19100,278.8,308.0,0
0x19180,278.6,308.1,0
0x19200,277.9,311.1,0
0x19280,277.7,311.1,0
0x19300,278.6,308.1,0
0x19380,278.6,308.0,0
0x19400,304.3,278.7,1
0x19480,304.4,278.3,1
0x19500,304.2,279.2,1
0x19580,304.0,279.1,1
0x19600,304.5,278.4,1
0x19680,304.3,278.4,1
0x19700,304.2,279.0,1
0x19780,304.2,278.9,1
0x19800,303.8,278.7,1
0x19880,303.8,278.8,1
0x19900,277.2,315.5,0
0x19980,277.2,315.5,0
0x19a00,304.0,278.7,1
0x19a80,303.8,278.7,1
0x19b00,277.3,315.5,0
0x19b80,277.3,315.5,0
0x19c00,278.8,305.1,0
0x19c80,278.8,304.9,0
0x19d00,304.5,278.8,1
0x19d80,304.4,278.9,1
0x19e00,278.8,304.9,0
0x19e80,278.8,305.0,0
0x19f00,304.6,278.9,1
